SMS_pers_legacy_id_ssd1,SMS_pers_person_id_ssd1,SMS_pers_legacy_id_ssd2,SMS_pers_person_id_ssd2,SMS_pers_legacy_id_ssd3,SMS_pers_person_id_ssd3,Az_pers_legacy_id_ssd1,Az_pers_person_id_ssd1,Az_pers_legacy_id_ssd2,Az_pers_person_id_ssd2,Az_pers_legacy_id_ssd3,Az_pers_person_id_ssd3,cincplac_pers_legacy_id,cincplac_pers_person_id
P4032421,90927,P4032421,90927,P3024245,23330,P4032421,90927,P4032421,90927,P3024245,23330,7204576,7204576
P4032527,90953,P4032527,90953,P3024246,23331,P4032527,90953,P4032527,90953,P3024246,23331,S727941,7128060
P4032744,91056,P4032744,91056,P3024785,23566,P4032744,91056,P4032744,91056,P3024785,23566,P4110997,121685
P4032901,91120,P4032901,91120,P3025666,23945,P4032901,91120,P4032901,91120,P3025666,23945,P4111017,121698
P4032997,91143,P4032997,91143,P3025667,23946,P4032997,91143,P4032997,91143,P3025667,23946,7045542,7045542
P4033609,91346,P4033609,91346,P3026534,24227,P4033609,91346,P4033609,91346,P3026534,24227,P4188183,158056
P4034958,91852,P4034958,91852,P3027032,24408,P4034958,91852,P4034958,91852,P3027032,24408,7204740,7204740
P4035413,92059,P4035413,92059,P3028140,24816,P4035413,92059,P4035413,92059,P3028140,24816,7204745,7204745
P4035677,92168,P4035677,92168,P3028597,24990,P4035677,92168,P4035677,92168,P3028597,24990,7045759,7045759
P4035894,92265,P4035894,92265,P3028940,25098,P4035894,92265,P4035894,92265,P3028940,25098,P4113328,122560
P4039362,93708,P4039362,93708,P3032119,26225,P4039362,93708,P4039362,93708,P3032119,26225,7204851,7204851
P4039757,93886,P4039757,93886,P3032799,26445,P4039757,93886,P4039757,93886,P3032799,26445,7045865,7045865
P4040119,94093,P4040119,94093,P3033342,26666,P4040119,94093,P4040119,94093,P3033342,26666,P4114087,122835
P4040346,94191,P4040346,94191,P3035416,27472,P4040346,94191,P4040346,94191,P3035416,27472,P4114385,122925
P4040542,94252,P4040542,94252,P3035566,27543,P4040542,94252,P4040542,94252,P3035566,27543,7045936,7045936
P4040987,94405,P4040987,94405,P3036281,27796,P4040987,94405,P4040987,94405,P3036281,27796,7045993,7045993
P4041993,94868,P4041993,94868,P3036284,27798,P4041993,94868,P4041993,94868,P3036284,27798,7205054,7205054
