table_name,field_name,ordinal_mosaic,data_type_mosaic,size_text_mosaic,full_type_mosaic,max_length_mosaic,numeric_precision_mosaic,numeric_scale_mosaic,is_nullable_mosaic,raw_duplicate_row_count_mosaic,has_duplicate_rows_in_source_mosaic,has_within_source_type_conflict_mosaic,has_within_source_size_conflict_mosaic,has_within_source_nullable_conflict_mosaic,has_within_source_ordinal_conflict_mosaic,present_mosaic,ordinal_systemc,data_type_systemc,size_text_systemc,full_type_systemc,max_length_systemc,numeric_precision_systemc,numeric_scale_systemc,is_nullable_systemc,raw_duplicate_row_count_systemc,has_duplicate_rows_in_source_systemc,has_within_source_type_conflict_systemc,has_within_source_size_conflict_systemc,has_within_source_nullable_conflict_systemc,has_within_source_ordinal_conflict_systemc,present_systemc,ordinal_eclipse,data_type_eclipse,size_text_eclipse,full_type_eclipse,max_length_eclipse,numeric_precision_eclipse,numeric_scale_eclipse,is_nullable_eclipse,raw_duplicate_row_count_eclipse,has_duplicate_rows_in_source_eclipse,has_within_source_type_conflict_eclipse,has_within_source_size_conflict_eclipse,has_within_source_nullable_conflict_eclipse,has_within_source_ordinal_conflict_eclipse,present_eclipse,present_in_sources,present_in_all_3,same_field_presence_all_3,same_data_type_where_present,same_size_text_where_present,same_full_type_where_present,same_nullable_where_present,same_ordinal_where_present
ssd_care_leavers,clea_care_leaver_accom_suitable,7,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,7,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,7,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_care_leaver_accommodation,6,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,6,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,6,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_care_leaver_activity,8,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,8,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,8,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_care_leaver_allocated_team,11,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,11,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,11,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_care_leaver_eligibility,3,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,3,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_care_leaver_in_touch,4,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,4,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,4,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_care_leaver_latest_contact,5,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,5,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,5,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_care_leavers,clea_care_leaver_personal_advisor,10,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,10,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,10,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_care_leaver_worker_id,12,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,12,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,12,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_pathway_plan_review_date,9,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,9,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,9,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_care_leavers,clea_person_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_care_leavers,clea_table_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_assessment_auth_date,6,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,6,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,6,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cin_assessments,cina_assessment_child_seen,5,varchar,1,varchar(1),1.0,,,,1.0,False,False,False,False,False,True,5,nchar,1,nchar(1),1,,,,2.0,True,False,False,False,False,True,5,char,1.0,char(1),1.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_assessment_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_assessment_outcome_json,7,varchar,1000,varchar(1000),1000.0,,,,1.0,False,False,False,False,False,True,7,nvarchar,1000,nvarchar(1000),1000,,,,2.0,True,False,False,False,False,True,7,varchar,1000.0,varchar(1000),1000.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_assessment_outcome_nfa,8,varchar,1,varchar(1),1.0,,,,1.0,False,False,False,False,False,True,8,nchar,1,nchar(1),1,,,,2.0,True,False,False,False,False,True,8,char,1.0,char(1),1.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_assessment_start_date,4,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,4,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,4,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cin_assessments,cina_assessment_team,9,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,9,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,9,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_assessment_worker_id,10,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,10,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,10,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_person_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_assessments,cina_referral_id,3,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,3,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_cin_primary_need_code,4,varchar,16,varchar(16),16.0,,,,1.0,False,False,False,False,False,True,4,nvarchar,3,nvarchar(3),3,,,,2.0,True,False,False,False,False,True,4,varchar,3.0,varchar(3),3.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_close_date,10,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,10,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,10,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cin_episodes,cine_close_reason,9,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,9,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,9,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_person_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_referral_date,3,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,3,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,3,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cin_episodes,cine_referral_id,1,int,,int,,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_referral_nfa,8,varchar,1,varchar(1),1.0,,,,1.0,False,False,False,False,False,True,8,nchar,1,nchar(1),1,,,,2.0,True,False,False,False,False,True,8,char,1.0,char(1),1.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_referral_outcome_json,7,varchar,4000,varchar(4000),4000.0,,,,1.0,False,False,False,False,False,True,7,nvarchar,4000,nvarchar(4000),4000,,,,2.0,True,False,False,False,False,True,7,varchar,4000.0,varchar(4000),4000.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_referral_source_code,5,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,5,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,5,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_referral_source_desc,6,varchar,255,varchar(255),255.0,,,,1.0,False,False,False,False,False,True,6,nvarchar,255,nvarchar(255),255,,,,2.0,True,False,False,False,False,True,6,varchar,255.0,varchar(255),255.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_referral_team,11,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,11,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,11,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_episodes,cine_referral_worker_id,12,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,12,nvarchar,48,nvarchar(48),48,,,,2.0,True,True,True,False,False,True,12,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_plans,cin_plan_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,1,False,False,True,True,True,True,True
ssd_cin_plans,cinp_cin_plan_end_date,5,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,5,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,5,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cin_plans,cinp_cin_plan_id,,,,,,,,,,,,,,,False,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,False,False,False,False,False,True,True
ssd_cin_plans,cinp_cin_plan_start_date,4,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,4,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,4,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cin_plans,cinp_cin_plan_team,6,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,6,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,6,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_plans,cinp_cin_plan_worker_id,7,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,7,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,7,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_plans,cinp_person_id,3,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,3,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_plans,cinp_referral_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_visits,cinv_cin_plan_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,1,False,False,True,True,True,True,True
ssd_cin_visits,cinv_cin_visit_bedroom,6,varchar,1,varchar(1),1.0,,,,1.0,False,False,False,False,False,True,6,nchar,1,nchar(1),1,,,,2.0,True,False,False,False,False,True,6,char,1.0,char(1),1.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_visits,cinv_cin_visit_date,3,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,3,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,3,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cin_visits,cinv_cin_visit_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_visits,cinv_cin_visit_seen,4,varchar,1,varchar(1),1.0,,,,1.0,False,False,False,False,False,True,4,nchar,1,nchar(1),1,,,,2.0,True,False,False,False,False,True,4,char,1.0,char(1),1.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_visits,cinv_cin_visit_seen_alone,5,varchar,1,varchar(1),1.0,,,,1.0,False,False,False,False,False,True,5,nchar,1,nchar(1),1,,,,2.0,True,False,False,False,False,True,5,char,1.0,char(1),1.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cin_visits,cinv_person_id,,,,,,,,,,,,,,,False,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,False,False,False,False,False,True,True
ssd_cla_care_plan,lacp_cla_care_plan_end_date,3,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,4,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,4,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,False
ssd_cla_care_plan,lacp_cla_care_plan_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,1,False,False,True,True,True,True,True
ssd_cla_care_plan,lacp_cla_care_plan_json,4,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,5,nvarchar,1000,nvarchar(1000),1000,,,,2.0,True,False,False,False,False,True,5,varchar,1000.0,varchar(1000),1000.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_care_plan,lacp_cla_care_plan_start_date,2,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,3,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,3,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,False
ssd_cla_care_plan,lacp_person_id,5,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_care_plan,lacp_table_id,,,,,,,,,,,,,,,False,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,False,False,False,False,False,True,True
ssd_cla_convictions,clac_cla_conviction_date,3,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,3,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,3,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cla_convictions,clac_cla_conviction_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_convictions,clac_cla_conviction_offence,,,,,,,,,,,,,,,False,4,nvarchar,1000,nvarchar(1000),1000,,,,2.0,True,False,False,False,False,True,4,varchar,1000.0,varchar(1000),1000.0,,,,1.0,False,False,False,False,False,True,2,False,False,False,False,False,True,True
ssd_cla_convictions,clac_person_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_episodes,clae_cla_episode_ceased_date,9,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,7,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,7,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,False
ssd_cla_episodes,clae_cla_episode_ceased_reason,12,varchar,255,varchar(255),255.0,,,,1.0,False,False,False,False,False,True,8,nvarchar,255,nvarchar(255),255,,,,2.0,True,False,False,False,False,True,8,varchar,255.0,varchar(255),255.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_episodes,clae_cla_episode_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_episodes,clae_cla_episode_start_date,3,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,4,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,4,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,False
ssd_cla_episodes,clae_cla_episode_start_reason,4,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,5,nvarchar,100,nvarchar(100),100,,,,2.0,True,False,False,False,False,True,5,varchar,100.0,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_episodes,clae_cla_id,6,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,9,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,9,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_episodes,clae_cla_last_iro_contact_date,8,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,11,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,11,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,False
ssd_cla_episodes,clae_cla_placement_id,10,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,3,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_episodes,clae_cla_primary_need_code,5,varchar,100,varchar(100),100.0,,,,1.0,False,False,False,False,False,True,6,nvarchar,3,nvarchar(3),3,,,,2.0,True,False,False,False,False,True,6,varchar,3.0,varchar(3),3.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_episodes,clae_entered_care_date,11,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,12,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,12,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,False
ssd_cla_episodes,clae_person_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_episodes,clae_referral_id,7,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,10,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,10,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,False
ssd_cla_health,clah_health_check_date,4,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,4,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,4,timestamp,,timestamp,,,,,1.0,False,False,False,False,False,True,3,True,True,False,True,False,True,True
ssd_cla_health,clah_health_check_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_health,clah_health_check_status,5,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,5,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,5,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_health,clah_health_check_type,3,varchar,500,varchar(500),500.0,,,,1.0,False,False,False,False,False,True,3,nvarchar,500,nvarchar(500),500,,,,2.0,True,False,False,False,False,True,3,varchar,500.0,varchar(500),500.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_health,clah_person_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_cla_immunisations,clai_immunisations_status,2,varchar,1,varchar(1),1.0,,,,1.0,False,False,False,False,False,True,2,nchar,1,nchar(1),1,,,,2.0,True,False,False,False,False,True,2,char,1.0,char(1),1.0,,,,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
