source_system,table_name,field_name,source_file,ordinal_position,data_type,size_text,full_type,max_length,numeric_precision,numeric_scale,is_nullable,raw_duplicate_row_count,duplicate_full_type_count,duplicate_size_count,duplicate_nullable_count,duplicate_ordinal_count,has_duplicate_rows_in_source,has_within_source_type_conflict,has_within_source_size_conflict,has_within_source_nullable_conflict,has_within_source_ordinal_conflict
eclipse,ssd_care_leavers,clea_care_leaver_personal_advisor,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,10,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_worker_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,12,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_pathway_plan_review_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,9,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_table_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_auth_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,6,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_child_seen,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,5,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_outcome_json,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,7,varchar,1000.0,varchar(1000),1000.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_outcome_nfa,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,8,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_start_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,4,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_team,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,9,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_assessment_worker_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,10,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_assessments,cina_referral_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql,3,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_cin_primary_need_code,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,4,varchar,3.0,varchar(3),3.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_close_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,10,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_close_reason,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,9,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,3,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_nfa,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,8,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_outcome_json,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,7,varchar,4000.0,varchar(4000),4000.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_source_code,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,5,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_source_desc,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,6,varchar,255.0,varchar(255),255.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_team,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,11,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_episodes,cine_referral_worker_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql,12,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_plans,cinp_cin_plan_end_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql,5,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cin_plans,cinp_cin_plan_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_plans,cinp_cin_plan_start_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql,4,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cin_plans,cinp_cin_plan_team,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql,6,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_plans,cinp_cin_plan_worker_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql,7,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_plans,cinp_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql,3,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_plans,cinp_referral_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_visits,cinv_cin_visit_bedroom,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_visits.sql,6,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_visits,cinv_cin_visit_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_visits.sql,3,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cin_visits,cinv_cin_visit_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_visits.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_visits,cinv_cin_visit_seen,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_visits.sql,4,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_visits,cinv_cin_visit_seen_alone,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_visits.sql,5,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cin_visits,cinv_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_visits.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_care_plan,lacp_cla_care_plan_end_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_care_plan v0.1 - in dev.sql,4,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_care_plan,lacp_cla_care_plan_json,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_care_plan v0.1 - in dev.sql,5,varchar,1000.0,varchar(1000),1000.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_care_plan,lacp_cla_care_plan_start_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_care_plan v0.1 - in dev.sql,3,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_care_plan,lacp_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_care_plan v0.1 - in dev.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_care_plan,lacp_table_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_care_plan v0.1 - in dev.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_convictions,clac_cla_conviction_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_convictions.sql,3,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_convictions,clac_cla_conviction_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_convictions.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_convictions,clac_cla_conviction_offence,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_convictions.sql,4,varchar,1000.0,varchar(1000),1000.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_convictions,clac_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_convictions.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_episode_ceased_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,7,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_episode_ceased_reason,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,8,varchar,255.0,varchar(255),255.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_episode_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_episode_start_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,4,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_episode_start_reason,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,5,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,9,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_last_iro_contact_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,11,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_placement_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,3,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_cla_primary_need_code,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,6,varchar,3.0,varchar(3),3.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_entered_care_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,12,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_episodes,clae_referral_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql,10,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_health,clah_health_check_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_health.sql,4,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_health,clah_health_check_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_health.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_health,clah_health_check_status,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_health.sql,5,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_health,clah_health_check_type,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_health.sql,3,varchar,500.0,varchar(500),500.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_health,clah_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_health.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_immunisations,clai_immunisations_status,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_immunisations.sql,2,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_immunisations,clai_immunisations_status_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_immunisations.sql,3,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_immunisations,clai_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_immunisations.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_change_reason,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,11,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_distance,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,7,double precision,,double precision,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_end_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,10,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_postcode,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,9,varchar,8.0,varchar(8),8.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_provider,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,8,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_start_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,4,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_type,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,5,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_cla_placement_urn,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,6,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_placement,clap_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql,3,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_previous_permanence,lapp_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_previous_permanence.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_previous_permanence,lapp_previous_permanence_la,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_previous_permanence.sql,4,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_previous_permanence,lapp_previous_permanence_option,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_previous_permanence.sql,3,varchar,200.0,varchar(200),200.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_previous_permanence,lapp_previous_permanence_order_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_previous_permanence.sql,5,varchar,10.0,varchar(10),10.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_previous_permanence,lapp_table_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_previous_permanence.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_reviews,clar_cla_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_reviews.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_reviews,clar_cla_review_cancelled,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_reviews.sql,5,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_reviews,clar_cla_review_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_reviews.sql,4,timestamp,,timestamp,,,,true,1,1,0,1,1,False,False,False,False,False
eclipse,ssd_cla_reviews,clar_cla_review_due_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_reviews.sql,3,timestamp,,timestamp,,,,true,1,1,0,1,1,False,False,False,False,False
eclipse,ssd_cla_reviews,clar_cla_review_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_reviews.sql,1,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_reviews,clar_cla_review_participation,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_reviews.sql,6,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_substance_misuse,clas_intervention_received,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_substance_misuse.sql,5,char,1.0,char(1),1.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_cla_substance_misuse,clas_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_substance_misuse.sql,2,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
