source_system,table_name,field_name,raw_row_count,source_file_count,distinct_full_type_count,distinct_size_count,distinct_nullable_count,distinct_ordinal_count,source_files
systemc,ssd_cla_substance_misuse,clas_person_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_substance_misuse.sql
systemc,ssd_cla_substance_misuse,clas_substance_misuse_date,2,2,1,0,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_substance_misuse.sql
systemc,ssd_cla_substance_misuse,clas_substance_misuse_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_substance_misuse.sql
systemc,ssd_cla_substance_misuse,clas_substance_misused,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_substance_misuse.sql
systemc,ssd_cla_visits,clav_cla_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_visits.sql
systemc,ssd_cla_visits,clav_cla_visit_date,2,2,1,0,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_visits.sql
systemc,ssd_cla_visits,clav_cla_visit_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_visits.sql
systemc,ssd_cla_visits,clav_cla_visit_seen,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_visits.sql
systemc,ssd_cla_visits,clav_cla_visit_seen_alone,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_visits.sql
systemc,ssd_cla_visits,clav_person_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_visits.sql
